IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT TRANSDATE, PERSONID, ACTIONPERFORMED, NODETYPE FROM WFTRANSACTION WHERE OWNERTABLE='PR' AND ACTIONPERFORMED IN ('PR WAPPR','PR APPR','OOG_PRWENG','OOG_PRREV','OOG_PRINREV','OOG_GPPR','OOG_OVERMAX_ACT') AND TRANSDATE >= '2026-07-01-00.00.00' ORDER BY OWNERID, TRANSDATE FETCH FIRST 40 ROWS ONLY;
FetchAll:  Columns: 4
  TRANSDATE PERSONID ACTIONPERFORMED NODETYPE 
  2026-07-03 15:43:46.723000, ALINEAMANCIO, OOG_GPPR, CONDITION
  2026-07-03 15:43:52.509000, ALINEAMANCIO, PR WAPPR, CONDITION
  2026-07-03 15:39:20.031000, ROBERTAROMAES, OOG_GPPR, CONDITION
  2026-07-03 15:39:20.308000, ROBERTAROMAES, PR WAPPR, CONDITION
  2026-07-03 15:43:42.251000, ALINEAMANCIO, OOG_OVERMAX_ACT, CONDITION
  2026-07-03 15:43:42.657000, ALINEAMANCIO, OOG_PRWENG, CONDITION
  2026-07-08 16:43:47.413000, DIEGOAGUIAR, OOG_OVERMAX_ACT, CONDITION
  2026-07-08 16:43:47.472000, DIEGOAGUIAR, PR APPR, CONDITION
  2026-07-04 10:54:03.870000, BRENNOGUIMARAES, OOG_GPPR, CONDITION
  2026-07-04 10:54:03.895000, BRENNOGUIMARAES, PR WAPPR, CONDITION
  2026-07-03 15:26:51.467000, ROBERTAROMAES, OOG_OVERMAX_ACT, TASK
  2026-07-03 15:26:52.972000, ROBERTAROMAES, PR APPR, INPUT
  2026-07-06 14:56:14.719000, W.JUNIOR, OOG_GPPR, CONDITION
  2026-07-06 14:56:14.766000, W.JUNIOR, PR WAPPR, CONDITION
  2026-07-06 21:01:05.528000, ESDRASSELLOS, OOG_OVERMAX_ACT, CONDITION
  2026-07-06 21:01:05.602000, ESDRASSELLOS, PR APPR, CONDITION
  2026-07-04 10:47:01.061000, ALINEAMANCIO, OOG_OVERMAX_ACT, CONDITION
  2026-07-04 10:47:01.132000, ALINEAMANCIO, PR APPR, CONDITION
  2026-07-03 13:23:07.012000, LUCASPINHEIRO, OOG_GPPR, CONDITION
  2026-07-03 13:23:07.058000, LUCASPINHEIRO, PR WAPPR, CONDITION
  2026-07-03 13:43:38.010000, LUCASPINHEIRO, OOG_GPPR, CONDITION
  2026-07-03 13:43:38.052000, LUCASPINHEIRO, PR WAPPR, CONDITION
  2026-07-03 21:24:43.008000, IGORRODRIGUES, OOG_OVERMAX_ACT, CONDITION
  2026-07-03 21:24:43.244000, IGORRODRIGUES, OOG_PRWENG, CONDITION
  2026-07-06 10:43:56.259000, VICTORCADE, OOG_OVERMAX_ACT, TASK
  2026-07-06 10:43:57.260000, VICTORCADE, PR APPR, INPUT
  2026-07-10 11:05:43.185000, ADEMIRJUNIOR, OOG_GPPR, CONDITION
  2026-07-10 11:05:43.264000, ADEMIRJUNIOR, PR WAPPR, CONDITION
  2026-07-10 15:10:41.805000, DIEGOAGUIAR, OOG_OVERMAX_ACT, CONDITION
  2026-07-10 15:10:41.937000, DIEGOAGUIAR, OOG_PRWENG, CONDITION
  2026-07-07 14:36:53.764000, ALINEAMANCIO, OOG_OVERMAX_ACT, CONDITION
  2026-07-07 14:36:53.859000, ALINEAMANCIO, PR APPR, CONDITION
  2026-07-07 17:34:49.486000, RAFAELHORTA, OOG_OVERMAX_ACT, TASK
  2026-07-07 17:34:51.422000, RAFAELHORTA, OOG_PRINREV, INPUT
  2026-07-07 17:38:36.429000, LUCASPINHEIRO, PR WAPPR, CONDITION
  2026-07-07 20:23:57.378000, ESDRASSELLOS, OOG_OVERMAX_ACT, CONDITION
  2026-07-07 20:23:57.674000, ESDRASSELLOS, PR APPR, CONDITION
  2026-07-08 15:22:59.768000, ADEMIRJUNIOR, OOG_GPPR, CONDITION
  2026-07-08 15:22:59.827000, ADEMIRJUNIOR, PR WAPPR, CONDITION
  2026-07-08 16:20:37.166000, ALINEAMANCIO, OOG_OVERMAX_ACT, CONDITION
FetchAll: 40 rows fetched.
> 
