IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  IURYSPORTES, -, 2026-04-08 06:04:23.530000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  ANDREPONCHIO, -, 2026-04-08 06:32:30.746000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  JULIANOOLIVEIRA, -, 2026-04-08 06:35:25.150000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  KLISMANCHAGAS, -, 2026-04-08 06:43:34.407000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  WSORACLE, -, 2026-04-08 06:45:10.478000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-04-08 06:45:10.982000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-04-08 06:45:11.143000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-04-08 06:49:15.798000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-04-08 06:49:16.204000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-04-08 06:49:16.305000, LOGIN, UNKNOWN, UNKNOWN
  ITEAM, -, 2026-04-08 06:49:29.797000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  ANDREPONCHIO, -, 2026-04-08 06:50:49.051000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  FLAVIOFIALHO, -, 2026-04-08 06:51:29.611000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  GUSTAVOCANARIO, -, 2026-04-08 07:04:48.044000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  JOSESILVA, -, 2026-04-08 07:05:12.338000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  MATHEUSOLIVEIRA, -, 2026-04-08 07:05:22.367000, LOGIN, 10.119.10.60, 10.119.10.60
  WILLIANCOUTINHO, -, 2026-04-08 07:06:33.520000, LOGIN, 10.119.10.154, 10.119.10.154
  FABIANABENTO, -, 2026-04-08 07:10:10.629000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  KARINYMIRANDA, -, 2026-04-08 07:10:47.080000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  MAXADOOG, -, 2026-04-08 07:16:29.055000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  EDUARDOOLIVEIRA, -, 2026-04-08 07:26:29.014000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  WSORACLE, -, 2026-04-08 07:39:15.329000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-04-08 07:39:15.827000, LOGIN, UNKNOWN, UNKNOWN
  IGORKLEM, -, 2026-04-08 07:40:15.106000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  ROBERTAROMAES, -, 2026-04-08 07:47:53.883000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  FERNANDOOSILVA, -, 2026-04-08 07:48:06.467000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  WSORACLE, -, 2026-04-08 07:49:04.997000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-04-08 07:49:05.363000, LOGIN, UNKNOWN, UNKNOWN
  MAXADOOG, -, 2026-04-08 07:50:23.948000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  PEDROJUSTUS, -, 2026-04-08 07:54:05.396000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  CANDIDONETO, -, 2026-04-08 07:58:19.480000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  ITEAM, -, 2026-04-08 08:02:02.714000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  MARLONMELO, -, 2026-04-08 08:04:31.500000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  MANOELSOUZA, -, 2026-04-08 08:05:44.818000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  MATHEUSOLIVEIRA, -, 2026-04-08 08:09:28.016000, LOGIN, 10.119.10.60, 10.119.10.60
  ANGELASAVI, -, 2026-04-08 08:12:11.080000, LOGIN, 10.119.34.76, 10.119.34.76
  ALEXANDREMELLO, -, 2026-04-08 08:15:49.823000, LOGIN, 10.119.10.25, 10.119.10.25
  ISABELAMONTEIRO, -, 2026-04-08 08:23:32.541000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  PATRICKPIRES, -, 2026-04-08 08:24:39.584000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  KARINYMIRANDA, -, 2026-04-08 08:24:51.153000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  JULIANOOLIVEIRA, -, 2026-04-08 08:25:15.351000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  FELIPEESILVA, -, 2026-04-08 08:25:56.964000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  VINICIUSGRAZZIOTTI, -, 2026-04-08 08:26:41.183000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
  WSORACLE, -, 2026-04-08 08:29:02.616000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-04-08 08:29:03.113000, LOGIN, UNKNOWN, UNKNOWN
  BIANCAMESSIAS, -, 2026-04-08 08:30:06.022000, LOGIN, 10.119.34.203, 10.119.34.203
  WALLACESIQUEIRA, -, 2026-04-08 08:30:09.413000, LOGIN, odrl-sp-sv013.foresea.com, 10.119.240.45
