IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  LEANDROCOUTO, O&G_AUTHORIZED, 0, 0, 0
  THANNAM, O&G_AUTHORIZED, 0, 0, 0
  MARCELODIAS, O&G_LIMITED, 0, 0, 0
  KAIANLIMA, O&G_LIMITED, 0, 0, 0
  CARLAMORAES, -, 0, 1, 0
  HELENAALMEIDA, -, 0, 1, 0
  LAIONSOUZA, -, 0, 1, 0
  JOAORESENDE, -, 0, 1, 0
  LUCASPORTES, -, 0, 1, 0
  FABIOMURTEIRA, -, 0, 1, 0
  RCATAIDE, -, 0, 1, 0
  JACSONH, -, 0, 1, 0
  THAISSAMPAIO, -, 0, 1, 0
  RENANASSEF, -, 0, 1, 0
  MURILOBRAZ, -, 0, 1, 0
  GUILHERMEBATISTA, -, 0, 1, 0
  VICTORSANTOS, -, 0, 1, 0
  FILLIPESILVA, -, 0, 1, 0
  ROBERTAAP, -, 0, 1, 0
  MARCIOMOLINARI, -, 0, 1, 1
  DARLANDOREA, -, 0, 1, 0
  OLIVIAJULIANELLI, -, 0, 1, 0
  MATTHEUSBELAN, -, 0, 1, 0
  ROBERTATOSTES, -, 0, 1, 0
  TIBERIOSEGUNDO, -, 0, 1, 0
  RCOSTA, -, 0, 1, 0
  AGATHAALVARENGA, -, 0, 1, 0
  PARTHUR, -, 0, 1, 0
  PAULOCOSTA, -, 0, 1, 0
  ISABELABUITRAGO, -, 0, 1, 0
  RENANRODRIGUES, -, 0, 1, 0
  MARINALISBOA, -, 0, 1, 0
  THAISNASCIMENTO, -, 0, 1, 0
  ANDERSONDONIZETE, -, 0, 1, 0
