IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOREIS,NEWREG                              ,2026-04-04-06.59.50.528000,,MAXADMIN
  ABILIOREIS,ACTIVE                              ,2026-04-04-07.01.15.582000,,ANDREGIACOMELI
  ABILIOREIS,INACTIVE                            ,2026-06-25-07.45.03.178000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABNESOUZA,NEWREG                              ,2024-02-19-13.11.02.000000,,MAXADMIN
  ABNESOUZA,ACTIVE                              ,2024-02-19-13.12.44.000000,,ANDREGIACOMELI
  ABNESOUZA,INACTIVE                            ,2024-04-15-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ACSAS,NEWREG                              ,2026-05-28-19.37.00.640000,,MAXADMIN
  ACSAS,ACTIVE                              ,2026-05-28-19.37.37.199000,,ANDREGIACOMELI
  ADAILTONAVELINO,ACTIVE                              ,2014-05-05-16.43.31.000000,,MAXADMIN
  ADAILTONAVELINO,BLOCKED                             ,2017-08-12-13.52.04.000000,,MAXADMIN
  ADAILTONAVELINO,ACTIVE                              ,2017-08-13-09.13.08.000000,,HELPDESK
  ADAILTONAVELINO,INACTIVE                            ,2022-10-07-06.00.34.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONADOSSANTOS,NEWREG                              ,2026-05-09-13.28.04.235000,,MAXADMIN
  ADEILSONADOSSANTOS,ACTIVE                              ,2026-05-09-13.39.23.995000,,ANDREGIACOMELI
  ADEILSONADOSSANTOS,INACTIVE                            ,2026-07-04-07.45.02.004000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONARAUJODOSSANTOS,NEWREG                              ,2025-12-05-18.02.40.000000,,ITEAM
  ADEILSONARAUJODOSSANTOS,ACTIVE                              ,2026-06-15-14.00.57.738000,,RAFAELLANA
  ADEILSONCOSTA,NEWREG                              ,2024-12-26-09.29.00.000000,,MAXADMIN
  ADEILSONCOSTA,ACTIVE                              ,2024-12-26-09.30.17.000000,,ANDREGIACOMELI
  ADEILSONCOSTA,INACTIVE                            ,2025-04-19-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONCOSTA,ACTIVE                              ,2025-07-05-16.47.37.000000,,HELPDESK
  ADEILSONCOSTA,INACTIVE                            ,2025-09-03-06.00.11.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONCOSTA,ACTIVE                              ,2025-11-19-18.02.25.000000,,ANDREGIACOMELI
  ADEILSONCOSTA,INACTIVE                            ,2026-03-26-07.45.02.277000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONCOSTA,ACTIVE                              ,2026-06-12-20.15.12.544000,,ANDREGIACOMELI
  ADEILSONSSANTOS,NEWREG                              ,2025-10-27-10.02.17.000000,,ITEAM
  ADEILSONSSANTOS,ACTIVE                              ,2025-10-27-10.04.23.000000,,ANDREGIACOMELI
  ADEILSONSSANTOS,INACTIVE                            ,2026-03-26-07.45.02.719000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADELSONJUNIOR,ACTIVE                              ,2025-09-08-10.43.13.000000,,ITEAM
  ADELSONJUNIOR,BLOCKED                             ,2025-11-20-19.18.00.000000,,MAXADMIN
  ADELSONJUNIOR,ACTIVE                              ,2025-11-20-19.22.46.000000,,MAXADMIN
  ADELSONJUNIOR,INACTIVE                            ,2026-04-09-07.45.02.891000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMIRJUNIOR,ACTIVE                              ,2016-10-14-15.41.53.000000,,JULINECAETANO
  ADEMIRJUNIOR,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  ADEMIRSILVA,NEWREG                              ,2025-06-14-13.47.24.000000,,ITEAM
  ADEMIRSILVA,ACTIVE                              ,2025-06-14-13.50.02.000000,,ANDREGIACOMELI
  ADEMIRSILVA,INACTIVE                            ,2025-08-06-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADIRALDOFERREIRA,NEWREG                              ,2024-01-30-10.33.32.000000,,MAXREG
  ADIRALDOFERREIRA,ACTIVE                              ,2024-01-30-10.48.28.000000,,MAXADOOG
  ADIRALDOFERREIRA,INACTIVE                            ,2024-03-29-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADIRALDOFERREIRA,ACTIVE                              ,2024-04-10-03.57.53.000000,0350100,HELPDESK
  ADIRALDOFERREIRA,INACTIVE                            ,2024-06-11-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADIVINOGONCALVES,NEWREG                              ,2025-06-11-21.12.05.000000,,ITEAM
  ADIVINOGONCALVES,ACTIVE                              ,2025-06-11-21.12.56.000000,,ANDREGIACOMELI
  ADIVINOGONCALVES,INACTIVE                            ,2025-08-15-06.00.08.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOAG,NEWREG                              ,2024-04-28-09.21.59.000000,,MAXADMIN
  ADRIANOAG,ACTIVE                              ,2024-04-28-09.22.48.000000,,JOSESANTOS
  ADRIANOAG,INACTIVE                            ,2024-04-29-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBARRETO,ACTIVE                              ,2023-10-02-17.53.46.000000,,ITEAM
  ADRIANOBARRETO,INACTIVE                            ,2023-11-22-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOBARRETO,ACTIVE                              ,2024-01-15-09.06.23.000000,,MAXADOOG
  ADRIANOBARRETO,INACTIVE                            ,2024-03-26-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOBARRETO,ACTIVE                              ,2024-09-15-19.39.21.000000,Ticket#0373311,HELPDESK
  ADRIANOBARRETO,INACTIVE                            ,2024-09-16-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOBARRETO,ACTIVE                              ,2024-09-16-19.14.15.000000,Ticket#0373409,HELPDESK
  ADRIANOBRAZ,NEWREG                              ,2025-01-17-10.32.23.000000,,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-01-17-10.33.38.000000,,ANDREGIACOMELI
  ADRIANOBRAZ,INACTIVE                            ,2025-01-18-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-01-18-06.17.57.000000,,ANDREGIACOMELI
  ADRIANOBRAZ,INACTIVE                            ,2025-01-19-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-01-19-06.10.06.000000,,ANDREGIACOMELI
  ADRIANOBRAZ,INACTIVE                            ,2025-01-20-01.00.01.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-01-20-06.11.51.000000,,ANDREGIACOMELI
  ADRIANOBRAZ,INACTIVE                            ,2025-01-21-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-01-21-06.13.47.000000,,ANDREGIACOMELI
