IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  LUCASJOSE, -, 2026-03-25 00:12:55.588000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LUIZOLIVEIRA, -, 2026-03-25 00:39:17.562000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SERGIOMATOS, -, 2026-03-25 00:46:57.461000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  AUGUSTOAMORIM, -, 2026-03-25 00:47:28.708000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JURANDIRJUNIOR, -, 2026-03-25 00:49:26.566000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RICARDOFABRI, -, 2026-03-25 00:54:02.531000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  FELIPEBASDONI, -, 2026-03-25 01:09:35.595000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  IGORCOUTO, -, 2026-03-25 01:11:09.144000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LUIZOLIVEIRA, -, 2026-03-25 01:11:35.047000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  DARIOBARISIC, -, 2026-03-25 01:19:40.621000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  AUGUSTOAMORIM, -, 2026-03-25 01:46:27.701000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LUCASDEOLIVEIRA, -, 2026-03-25 02:27:26.269000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LUIZOLIVEIRA, -, 2026-03-25 02:43:29.242000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  AUGUSTOAMORIM, -, 2026-03-25 03:13:21.130000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  WILLAMISSILVA, -, 2026-03-25 03:16:46.006000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  UANDERSONNOGUEIRA, -, 2026-03-25 03:33:57.759000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LUIZOLIVEIRA, -, 2026-03-25 04:15:10.486000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVERIOMAIA, -, 2026-03-25 04:26:08.359000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  UELITONJUNIOR, -, 2026-03-25 04:27:01.349000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  BRUNOQUADROS, -, 2026-03-25 04:28:34.813000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JOSEFERNANDES, -, 2026-03-25 04:31:03.527000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  AUGUSTOAMORIM, -, 2026-03-25 04:34:18.656000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LUIZOLIVEIRA, -, 2026-03-25 04:48:43.580000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RICARDOFABRI, -, 2026-03-25 04:53:15.420000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  FELIPEBASDONI, -, 2026-03-25 04:56:38.840000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  UANDERSONNOGUEIRA, -, 2026-03-25 04:59:07.245000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JURANDIRJUNIOR, -, 2026-03-25 05:14:17.051000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  DARIOBARISIC, -, 2026-03-25 05:19:17.292000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LEANDROSANTOS, -, 2026-03-25 05:34:11.385000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  GUILBERTAZEVEDO, -, 2026-03-25 05:40:56.347000, LOGIN, 10.117.183.11, 10.117.183.11
  GUILBERTAZEVEDO, -, 2026-03-25 05:44:52.766000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  TRSALVADOR, -, 2026-03-25 05:52:11.130000, LOGIN, 10.117.183.12, 10.117.183.12
  CONRADOSANTOS, -, 2026-03-25 05:52:41.941000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MSMAURITY, -, 2026-03-25 05:56:33.301000, LOGIN, 10.117.183.11, 10.117.183.11
  FLAVIOPEREIRA, -, 2026-03-25 05:56:34.567000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CASSIOPOLI, -, 2026-03-25 05:58:10.005000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  TRSALVADOR, -, 2026-03-25 06:00:27.345000, LOGIN, 10.117.183.12, 10.117.183.12
  GUILBERTAZEVEDO, -, 2026-03-25 06:01:50.943000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  PEDROHENRIQUERANGEL, -, 2026-03-25 06:03:12.837000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALBERTOCABRAL_TER, -, 2026-03-25 06:04:34.229000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RODIONSERDYUKOV, -, 2026-03-25 06:08:06.653000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MANTONIO, -, 2026-03-25 06:08:53.134000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALBERTOCABRAL_TER, -, 2026-03-25 06:11:28.891000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
