IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AADOSSANTOS,NEWREG                              ,2026-01-26-02.07.47.403000,,ITEAM
  AADOSSANTOS,ACTIVE                              ,2026-01-26-02.12.23.533000,,LEONARDOFRANCISCO
  AADOSSANTOS,INACTIVE                            ,2026-04-29-07.45.01.699000,Usuario inativo por mais de 50 dias,MAXADMIN
  AAGPITA,NEWREG                              ,2025-11-06-02.15.31.000000,,ITEAM
  AAGPITA,ACTIVE                              ,2025-11-06-02.16.00.000000,,SILVERIOMAIA
  AAGPITA,INACTIVE                            ,2026-03-26-07.45.02.989000,Usuario inativo por mais de 50 dias,MAXADMIN
  AAJUNIOR,NEWREG                              ,2026-04-21-12.35.39.971000,,MAXADMIN
  AAJUNIOR,ACTIVE                              ,2026-04-21-12.36.17.540000,,SILVERIOMAIA
  AAJUNIOR,INACTIVE                            ,2026-06-24-07.45.01.794000,Usuario inativo por mais de 50 dias,MAXADMIN
  AALVES,NEWREG                              ,2025-05-31-09.51.35.000000,,ITEAM
  AALVES,ACTIVE                              ,2025-05-31-09.55.05.000000,,UELITONJUNIOR
  AALVES,INACTIVE                            ,2025-07-21-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AALVES,ACTIVE                              ,2025-08-17-06.55.13.000000,,SILVERIOMAIA
  AALVES,INACTIVE                            ,2025-08-18-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AALVES,ACTIVE                              ,2026-06-16-20.01.33.388000,2026061629001955,HELPDESK
  AAMFILHO,NEWREG                              ,2026-02-21-17.08.02.214000,,ITEAM
  AAMFILHO,ACTIVE                              ,2026-02-21-17.17.17.173000,,LEONARDOFRANCISCO
  AAMFILHO,INACTIVE                            ,2026-04-24-07.45.01.990000,Usuario inativo por mais de 50 dias,MAXADMIN
  AARONCAMPBELL,ACTIVE                              ,2019-08-27-17.45.21.000000,,THIAGOFROES
  AARONCAMPBELL,INACTIVE                            ,2022-12-01-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AARONGUERRIERI,ACTIVE                              ,2014-05-26-15.28.09.000000,,MAXADMIN
  AARONGUERRIERI,INACTIVE                            ,2021-09-03-12.35.06.000000,0211850 — Emissão de Rescisão Contratual,ITEAM
  ABARBALHO,NEWREG                              ,2026-01-09-13.29.23.101000,,ITEAM
  ABARBALHO,ACTIVE                              ,2026-01-09-13.31.50.734000,,LEONARDOFRANCISCO
  ABARBALHO,INACTIVE                            ,2026-04-13-07.45.01.473000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABIANCARDI,NEWREG                              ,2026-04-06-15.52.05.317000,,MAXADMIN
  ABIANCARDI,ACTIVE                              ,2026-04-06-15.53.45.397000,,LEONARDOFRANCISCO
  ABIANCARDI,INACTIVE                            ,2026-06-20-07.45.01.777000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABILIOOLIVEIRA,ACTIVE                              ,2014-05-26-11.36.16.000000,,MAXADMIN
  ABILIOOLIVEIRA,INACTIVE                            ,2016-12-01-09.45.22.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ABRUBANCK,NEWREG                              ,2025-09-13-22.56.47.000000,,ITEAM
  ABRUBANCK,ACTIVE                              ,2025-09-13-23.05.26.000000,,SILVERIOMAIA
  ABRUBANCK,INACTIVE                            ,2025-11-03-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABSANTANA,NEWREG                              ,2026-04-05-14.10.22.188000,,MAXADMIN
  ABSANTANA,ACTIVE                              ,2026-04-05-14.11.02.289000,,UELITONJUNIOR
  ABSANTANA,INACTIVE                            ,2026-05-26-07.45.02.434000,Usuario inativo por mais de 50 dias,MAXADMIN
  ACARVALHO,NEWREG                              ,2026-03-22-10.55.05.256000,,MAXADMIN
  ACARVALHO,ACTIVE                              ,2026-03-22-10.56.20.611000,,SILVERIOMAIA
  ACARVALHO,INACTIVE                            ,2026-05-12-07.45.02.622000,Usuario inativo por mais de 50 dias,MAXADMIN
  ACSASILVA,NEWREG                              ,2025-09-13-16.04.11.000000,,ITEAM
  ACSASILVA,ACTIVE                              ,2025-09-13-16.05.38.000000,,SILVERIOMAIA
  ACSASILVA,INACTIVE                            ,2025-11-12-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ACSASILVA,ACTIVE                              ,2026-04-20-14.24.42.766000,,SILVERIOMAIA
  ACSASILVA,INACTIVE                            ,2026-06-23-07.45.02.930000,Usuario inativo por mais de 50 dias,MAXADMIN
  ACSMACIEL,NEWREG                              ,2025-10-12-01.32.11.000000,,ITEAM
  ACSMACIEL,ACTIVE                              ,2025-10-12-01.33.34.000000,,SILVERIOMAIA
  ACSMACIEL,INACTIVE                            ,2025-12-01-08.01.43.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ACSOUZA,NEWREG                              ,2025-04-18-00.35.24.000000,,ITEAM
  ACSOUZA,ACTIVE                              ,2025-04-18-00.38.47.000000,,SILVERIOMAIA
  ACSOUZA,INACTIVE                            ,2025-06-08-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADACOSTA,NEWREG                              ,2025-11-01-04.04.32.000000,,ITEAM
  ADACOSTA,ACTIVE                              ,2025-11-01-04.08.22.000000,,SILVERIOMAIA
  ADACOSTA,INACTIVE                            ,2025-12-01-08.01.42.000000,Automatic Inativate expired user access,MAXADMIN
  ADALBERTODASILVA,NEWREG                              ,2024-06-27-16.10.09.000000,,MAXADMIN
  ADALBERTODASILVA,ACTIVE                              ,2024-06-27-16.14.56.000000,,LEONARDOFRANCISCO
  ADALBERTODASILVA,INACTIVE                            ,2024-08-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADAMGODWIN,ACTIVE                              ,2014-05-12-17.15.19.000000,,MAXADMIN
  ADAMGODWIN,INACTIVE                            ,2016-12-01-09.45.22.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ADDASILVA,NEWREG                              ,2025-12-02-16.24.10.000000,,ITEAM
  ADDASILVA,ACTIVE                              ,2025-12-02-16.25.00.000000,,SILVERIOMAIA
  ADDASILVA,INACTIVE                            ,2026-03-26-07.45.03.460000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONDOSANTOS,NEWREG                              ,2025-03-21-15.26.39.000000,,ITEAM
  ADEILSONDOSANTOS,ACTIVE                              ,2025-03-21-15.27.48.000000,,SILVERIOMAIA
  ADEILSONDOSANTOS,INACTIVE                            ,2025-05-11-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
