IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  ALEXSANDRO, O&G_LIMITED, 0, 0, 0
  ROBERTOSANTOS, O&G_LIMITED, 0, 0, 0
  MAXADMIN, -, 0, 1, 1
  LEONIDASOLIVEIRA, O&G_LIMITED, 0, 0, 0
  CARLOSMARIANO, O&G_LIMITED, 0, 0, 0
  SANDROPARENTE, O&G_LIMITED, 0, 0, 0
  MICHELDERYCK, O&G_LIMITED, 0, 0, 0
  DOUGLASRAMOS, O&G_LIMITED, 0, 0, 0
  SAVIOCAETANO, O&G_LIMITED, 0, 0, 0
  JOAOCNETO, O&G_LIMITED, 0, 0, 0
  RAFAELALEXANDRE, O&G_LIMITED, 0, 0, 0
  RODRIGOCOVA, O&G_LIMITED, 0, 0, 0
  ARYGSOUZA, O&G_LIMITED, 0, 0, 0
  TPAUKSTYS, O&G_LIMITED, 0, 0, 0
  CARLAMORAES, O&G_LIMITED, 0, 0, 0
  ERNANECARVALHAL, O&G_LIMITED, 0, 0, 0
  ADEMIRJUNIOR, O&G_AUTHORIZED, 0, 0, 0
  CARLOSWENDERROSCHY, O&G_LIMITED, 0, 0, 0
  RODRIGOGOES, O&G_LIMITED, 0, 0, 0
  CAROLINABRAGA, O&G_AUTHORIZED, 0, 0, 0
  ARTHURONIAS, O&G_AUTHORIZED, 0, 0, 0
  RONALDLACERDA, O&G_AUTHORIZED, 0, 0, 0
  JONATHABARBOSA, O&G_LIMITED, 0, 0, 0
  FLAVIOFIALHO, O&G_AUTHORIZED, 0, 0, 0
  VINICIUSERVATI, O&G_LIMITED, 0, 0, 0
