IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AANDREZACSANTOS,NEWREG                              ,2025-03-26-18.07.08.000000,,MAXADMIN
  AANDREZACSANTOS,ACTIVE                              ,2026-01-11-06.53.58.967000,,CAROLINABRAGA
  AANDREZACSANTOS,INACTIVE                            ,2026-04-08-10.55.12.792000,Usuario inativo por mais de 50 dias,MAXADMIN
  AANGELO,NEWREG                              ,2026-02-15-10.34.48.019000,,ITEAM
  AANGELO,ACTIVE                              ,2026-02-15-10.36.19.370000,,CAROLINABRAGA
  AANGELO,INACTIVE                            ,2026-04-08-10.55.20.769000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABARCELLOS,NEWREG                              ,2025-09-17-13.48.23.000000,,ITEAM
  ABARCELLOS,ACTIVE                              ,2025-09-17-13.59.50.000000,,SOCRATESREIS
  ABNEBAKER,NEWREG                              ,2024-08-26-16.14.43.000000,,MAXADMIN
  ABNEBAKER,ACTIVE                              ,2024-08-26-16.15.21.000000,,CAROLINABRAGA
  ABNEBAKER,INACTIVE                            ,2024-10-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABNEDESOUZA,NEWREG                              ,2025-01-20-20.00.15.000000,,MAXADMIN
  ABNEDESOUZA,ACTIVE                              ,2026-01-11-07.17.07.229000,,CAROLINABRAGA
  ABNEDESOUZA,INACTIVE                            ,2026-04-08-10.55.13.702000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABNESANTOS,NEWREG                              ,2024-05-18-16.04.38.000000,,MAXADMIN
  ABNESANTOS,ACTIVE                              ,2024-05-18-16.06.32.000000,,SOCRATESREIS
  ABNESANTOS,INACTIVE                            ,2024-07-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABNESANTOS,NEWREG                              ,2025-01-20-19.53.50.000000,,MAXADMIN
  ABNESANTOS,ACTIVE                              ,2025-01-20-20.21.52.000000,,CAROLINABRAGA
  ABNESANTOS,INACTIVE                            ,2025-03-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABNESANTOSSILVA,NEWREG                              ,2025-01-20-19.55.57.000000,,MAXADMIN
  ABNESANTOSSILVA,ACTIVE                              ,2026-01-11-07.17.16.651000,,CAROLINABRAGA
  ABNESANTOSSILVA,INACTIVE                            ,2026-04-08-10.55.15.726000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABNESILVA,NEWREG                              ,2025-01-20-19.56.22.000000,,MAXADMIN
  ABNESILVA,ACTIVE                              ,2026-01-11-07.17.30.391000,,CAROLINABRAGA
  ABNESILVA,INACTIVE                            ,2026-04-08-10.55.12.265000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABNESOUZA,NEWREG                              ,2025-01-20-19.53.25.000000,,MAXADMIN
  ABNESOUZA,ACTIVE                              ,2026-01-11-07.17.54.924000,,CAROLINABRAGA
  ABNESOUZA,INACTIVE                            ,2026-04-08-10.55.12.477000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABRAAOTANAN,NEWREG                              ,2025-10-17-19.34.26.000000,,ITEAM
  ABRAAOTANAN,ACTIVE                              ,2025-10-17-19.38.43.000000,,CAROLINABRAGA
  ABRAAOTANAN,INACTIVE                            ,2026-01-01-01.00.03.687000,Automatic Inativate expired user access,MAXADMIN
  ABRAAOTANAN,ACTIVE                              ,2026-01-28-09.35.07.351000,,MAXADOOG
  ABRAAOTANAN,INACTIVE                            ,2026-04-08-10.55.15.011000,Usuario inativo por mais de 50 dias,MAXADMIN
  ACARLOS,NEWREG                              ,2026-02-09-08.20.17.592000,,ITEAM
  ACARLOS,ACTIVE                              ,2026-03-03-16.08.08.558000,,SOCRATESREIS
  ACARLOS,INACTIVE                            ,2026-04-23-07.45.01.802000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADAILTONFRANCISCO,NEWREG                              ,2026-02-09-08.26.35.249000,,ITEAM
  ADAILTONFRANCISCO,ACTIVE                              ,2026-02-10-17.36.29.510000,,CAROLINABRAGA
  ADAILTONFRANCISCO,INACTIVE                            ,2026-04-15-07.45.01.794000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADALBERTOSILVA,ACTIVE                              ,2023-10-31-14.56.52.000000,,ITEAM
  ADALBERTOSILVA,INACTIVE                            ,2024-02-05-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADALBERTOSILVA,ACTIVE                              ,2025-12-26-23.31.15.479000,,HELPDESK
  ADALBERTOSILVA,INACTIVE                            ,2026-05-15-07.45.01.147000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADAMSANTOS,ACTIVE                              ,2021-12-16-16.28.18.000000,,ITEAM
  ADEILSONARAUJO,NEWREG                              ,2024-05-15-17.10.32.000000,,MAXADMIN
  ADEILSONARAUJO,ACTIVE                              ,2024-05-15-17.11.42.000000,,SOCRATESREIS
  ADEILSONARAUJO,INACTIVE                            ,2024-07-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONCMCOUTO,NEWREG                              ,2024-11-09-20.22.38.000000,,MAXADMIN
  ADEILSONCMCOUTO,ACTIVE                              ,2024-11-09-20.28.03.000000,,SOCRATESREIS
  ADEILSONCMCOUTO,INACTIVE                            ,2025-01-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONCMCOUTO,ACTIVE                              ,2025-12-23-15.43.40.874000,Ticket#2025122329000389,ITEAM
  ADEILSONCMCOUTO,BLOCKED                             ,2025-12-27-14.47.11.629000,,MAXADMIN
  ADEILSONCMCOUTO,ACTIVE                              ,2025-12-27-14.56.25.934000,,MAXADMIN
  ADEILSONCMCOUTO,INACTIVE                            ,2026-04-24-07.45.01.752000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONCOSTADESOUZA,NEWREG                              ,2025-03-08-18.42.19.000000,,MAXADMIN
  ADEILSONCOSTADESOUZA,ACTIVE                              ,2025-03-10-10.36.12.000000,,ITEAM
  ADEILSONCOSTADESOUZA,INACTIVE                            ,2025-05-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONCOSTADESOUZA,ACTIVE                              ,2026-01-28-09.35.07.354000,,MAXADOOG
  ADEILSONCOSTADESOUZA,INACTIVE                            ,2026-04-08-10.55.16.572000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONSANTOS,ACTIVE                              ,2025-07-08-17.46.19.000000,,ITEAM
  ADEILSONSANTOS,INACTIVE                            ,2025-10-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADELSONJR,NEWREG                              ,2026-03-22-13.42.10.840000,,MAXADMIN
  ADELSONJR,ACTIVE                              ,2026-03-22-13.51.45.763000,,SOCRATESREIS
  ADELSONJR,INACTIVE                            ,2026-06-10-07.45.02.096000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADELSONJUNIOR,NEWREG                              ,2023-12-29-03.59.36.000000,,MAXADMIN
  ADELSONJUNIOR,ACTIVE                              ,2023-12-29-04.00.54.000000,,CAROLINABRAGA
