IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  PAULOCOUTINHOO, -, 2026-03-24 00:02:39.325000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ALANOSILVA, -, 2026-03-24 00:08:11.880000, LOGIN, 10.117.110.115, 10.117.110.115
  MARCIOJOSEBASTOS, -, 2026-03-24 00:08:14.377000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOOLIVEIRA, -, 2026-03-24 00:12:45.166000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WELINGTONRODRIGUES, -, 2026-03-24 00:16:58.965000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ERIKTHOMAZINE, -, 2026-03-24 00:17:19.861000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SAVIOPINTO, -, 2026-03-24 00:20:32.530000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  TIAGOPEIXER, -, 2026-03-24 00:39:45.469000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ESEQUIELBARROS, -, 2026-03-24 00:50:44.354000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  CARLOSLISBOA, -, 2026-03-24 00:53:57.233000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ANAGOUVEIA, -, 2026-03-24 00:55:20.148000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  AILTONBALZANA, -, 2026-03-24 00:55:21.413000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  PHILLIPEMOTA, -, 2026-03-24 00:59:41.970000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFERREIRA, -, 2026-03-24 01:24:22.122000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  CARLOSFERNANDEZ, -, 2026-03-24 01:25:28.905000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZBARROSO, -, 2026-03-24 01:26:47.745000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  CARLOSFERNANDEZ, -, 2026-03-24 01:27:55.391000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  CARLOMARINS, -, 2026-03-24 01:31:42.887000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ROBERTOSOBREIRA, -, 2026-03-24 01:48:34.761000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SAVIOPINTO, -, 2026-03-24 01:59:36.280000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MARCELOGALLO, -, 2026-03-24 02:09:03.663000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  YAGOBRANCO, -, 2026-03-24 02:19:59.629000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFERREIRA, -, 2026-03-24 02:22:21.153000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ALANOSILVA, -, 2026-03-24 02:31:39.769000, LOGIN, 10.117.110.115, 10.117.110.115
  GIBERSONSILVA, -, 2026-03-24 03:16:35.672000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ROBERTOSOBREIRA, -, 2026-03-24 03:23:59.043000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOOLIVEIRA, -, 2026-03-24 03:59:23.160000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ROBSONDIAS, -, 2026-03-24 04:17:31.230000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ALANOSILVA, -, 2026-03-24 04:26:33.469000, LOGIN, 10.117.110.115, 10.117.110.115
  BRUNOOLIVEIRA, -, 2026-03-24 04:56:11.797000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MARCELINOFILHO, -, 2026-03-24 05:03:21.582000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  EDSONMORAES, -, 2026-03-24 05:03:45.822000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOOLIVEIRA, -, 2026-03-24 05:04:00.135000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  EDSONMORAES, -, 2026-03-24 05:04:12.046000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MARCELINOFILHO, -, 2026-03-24 05:05:58.932000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOOLIVEIRA, -, 2026-03-24 05:06:19.159000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MARCELINOFILHO, -, 2026-03-24 05:06:29.473000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ADRIELRODRIGUES, -, 2026-03-24 05:07:55.104000, LOGIN, 10.117.113.7, 10.117.113.7
  BRUNOOLIVEIRA, -, 2026-03-24 05:09:36.904000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  IAGOSILVA, -, 2026-03-24 05:11:29.520000, LOGIN, 10.117.113.8, 10.117.113.8
  MARCELINOFILHO, -, 2026-03-24 05:12:32.538000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOROBERTO, -, 2026-03-24 05:19:06.061000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ADRIELRODRIGUES, -, 2026-03-24 05:22:51.774000, LOGIN, 10.117.113.7, 10.117.113.7
