IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOPEDROSO,NEWREG                              ,2025-02-15-19.43.21.000000,,MAXADMIN
  ABILIOPEDROSO,INACTIVE                            ,2025-05-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABILIOPEDROSO,ACTIVE                              ,2025-02-15-19.44.13.000000,,RENATOSOARES
  ABILIORONIEL,NEWREG                              ,2026-01-15-19.40.32.700000,,ITEAM
  ABILIORONIEL,INACTIVE                            ,2026-03-26-07.45.03.013000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABILIORONIEL,ACTIVE                              ,2026-01-15-19.42.09.329000,,RENATOSOARES
  ABNESANTOS,NEWREG                              ,2026-03-02-14.28.32.801000,,MAXADMIN
  ABNESANTOS,ACTIVE                              ,2026-03-02-14.29.28.946000,,LUIZFELIPE
  ABNESANTOS,INACTIVE                            ,2026-05-03-07.45.03.232000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADAMBORZYNSKI,ACTIVE                              ,2015-04-06-07.24.33.000000,,MAXADMIN
  ADAMBORZYNSKI,INACTIVE                            ,2016-12-01-10.01.04.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ADEILSONARAUJO,NEWREG                              ,2025-04-27-19.50.18.000000,,MAXADMIN
  ADEILSONARAUJO,INACTIVE                            ,2025-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONARAUJO,ACTIVE                              ,2025-04-27-19.51.11.000000,,LUIZFELIPE
  ADEILSONARAUJO,ACTIVE                              ,2025-08-17-10.29.18.000000,,LUIZFELIPE
  ADEILSONARAUJO,INACTIVE                            ,2025-10-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONDOSSANTOS,NEWREG                              ,2026-05-30-09.24.18.929000,,MAXADMIN
  ADEILSONDOSSANTOS,ACTIVE                              ,2026-05-30-09.27.35.444000,,RENATOSOARES
  ADEILSONSANTOS,INACTIVE                            ,2024-08-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONSANTOS,ACTIVE                              ,2024-06-09-21.00.34.000000,,RAPHAELBARBOSA
  ADEILSONSANTOS,NEWREG                              ,2024-06-09-20.59.35.000000,,MAXADMIN
  ADEMARFAGUNDES,ACTIVE                              ,2025-07-12-11.15.03.000000,,LUIZFELIPE
  ADEMARFAGUNDES,INACTIVE                            ,2025-09-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMARFAGUNDES,NEWREG                              ,2025-07-12-11.13.54.000000,,ITEAM
  ADEMIRJUNIOR,ACTIVE                              ,2016-10-14-16.24.41.000000,,JULINECAETANO
  ADEMIRJUNIOR,INACTIVE                            ,2021-02-27-18.53.10.000000,,MAXADOOG
  ADEMIROLIVEIRA,ACTIVE                              ,2024-01-29-08.12.42.000000,,MAXADOOG
  ADEMIROLIVEIRA,INACTIVE                            ,2024-07-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMIROLIVEIRAJUNIOR,NEWREG                              ,2024-09-08-08.28.20.000000,,MAXADMIN
  ADEMIROLIVEIRAJUNIOR,ACTIVE                              ,2024-09-08-08.29.07.000000,,LUIZFELIPE
  ADEMIROLIVEIRAJUNIOR,INACTIVE                            ,2025-11-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANEGIOVANA,NEWREG                              ,2026-03-14-18.52.49.683000,,MAXADMIN
  ADRIANEGIOVANA,ACTIVE                              ,2026-03-14-18.53.34.294000,,RENATOSOARES
  ADRIANEGIOVANA,INACTIVE                            ,2026-05-04-07.45.03.535000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOAPARECIDO,ACTIVE                              ,2025-08-25-19.43.14.000000,,RENATOSOARES
  ADRIANOAPARECIDO,NEWREG                              ,2025-08-25-19.38.33.000000,,ITEAM
  ADRIANOAPARECIDO,ACTIVE                              ,2026-02-27-19.31.27.162000,,LUIZFELIPE
  ADRIANOAPARECIDO,INACTIVE                            ,2025-12-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOAPARECIDO,INACTIVE                            ,2026-05-02-07.45.03.317000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,INACTIVE                            ,2020-03-11-11.11.44.000000,usuario sem acesso ao sistema nos ultimos seis meses,MAXADOOG
  ADRIANOCALIXTO,ACTIVE                              ,2019-10-18-11.14.33.000000,,THIAGOFROES
  ADRIANOCALIXTO,ACTIVE                              ,2024-07-24-16.51.44.000000,,GREGORYMATOS
  ADRIANOCALIXTO,INACTIVE                            ,2024-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2026-05-29-15.39.36.388000,Ticket#2026052929000648 — Acesso ao Máximo - Criação de WO nos sites offshore,ITEAM
  ADRIANORODRIGUES,NEWREG                              ,2025-04-02-07.54.37.000000,,MAXADMIN
  ADRIANORODRIGUES,INACTIVE                            ,2025-05-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANORODRIGUES,ACTIVE                              ,2025-04-02-07.56.06.000000,,LUIZFELIPE
  ADRIANOSIQUEIRA,NEWREG                              ,2026-03-26-19.31.46.356000,,MAXADMIN
  ADRIANOSIQUEIRA,ACTIVE                              ,2026-03-26-19.32.29.833000,,LUIZFELIPE
  ADRIANOSIQUEIRA,INACTIVE                            ,2026-05-16-07.45.03.461000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOSOUSA,NEWREG                              ,2025-07-05-20.00.59.000000,,ITEAM
  ADRIANOSOUSA,ACTIVE                              ,2025-07-05-20.03.57.000000,,RENATOSOARES
  ADRIANOSOUSA,ACTIVE                              ,2025-10-06-19.21.46.000000,,LUIZFELIPE
  ADRIANOSOUSA,INACTIVE                            ,2025-09-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOSOUSA,INACTIVE                            ,2026-05-02-07.45.03.433000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIELRODRIGUES,NEWREG                              ,2026-01-24-10.15.27.147000,,ITEAM
  ADRIELRODRIGUES,ACTIVE                              ,2026-01-24-10.15.53.651000,,LUIZFELIPE
  ADRIELRODRIGUES,INACTIVE                            ,2026-05-16-07.45.03.401000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIELRODRIGUES,INACTIVE                            ,2026-07-02-01.00.01.529000,Automatic Inativate expired user access,MAXADMIN
  ADRIELRODRIGUES,ACTIVE                              ,2026-07-01-17.02.26.807000,,RENATOSOARES
  ADRIELRODRIGUES,INACTIVE                            ,2026-07-01-01.00.01.310000,Automatic Inativate expired user access,MAXADMIN
  ADRIELRODRIGUES,ACTIVE                              ,2026-05-21-17.15.58.428000,,LUIZFELIPE
  AELSIONSIQUEIRA,INACTIVE                            ,2025-11-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AELSIONSIQUEIRA,NEWREG                              ,2025-09-08-16.31.27.000000,,ITEAM
  AELSIONSIQUEIRA,INACTIVE                            ,2026-03-26-07.45.01.655000,Usuario inativo por mais de 50 dias,MAXADMIN
  AELSIONSIQUEIRA,ACTIVE                              ,2025-12-01-17.27.30.000000,,LUIZFELIPE
  AELSIONSIQUEIRA,ACTIVE                              ,2025-09-08-16.32.02.000000,,LUIZFELIPE
  AELSIONUNES,NEWREG                              ,2025-06-11-01.38.05.000000,,ITEAM
  AELSIONUNES,ACTIVE                              ,2025-06-11-01.39.22.000000,,RENATOSOARES
  AELSIONUNES,INACTIVE                            ,2025-07-31-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AELSIONUNES,INACTIVE                            ,2026-03-26-07.45.01.214000,Usuario inativo por mais de 50 dias,MAXADMIN
  AELSIONUNES,ACTIVE                              ,2025-12-01-17.27.53.000000,,LUIZFELIPE
  AFRANIOJUNIOR,NEWREG                              ,2024-06-18-19.28.57.000000,,MAXADMIN
  AFRANIOJUNIOR,INACTIVE                            ,2024-08-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AFRANIOJUNIOR,ACTIVE                              ,2024-06-18-19.29.54.000000,,LUIZFELIPE
  AGACIRODRIGUES,NEWREG                              ,2024-10-13-10.44.01.000000,,MAXADMIN
  AGACIRODRIGUES,INACTIVE                            ,2024-12-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGACIRODRIGUES,ACTIVE                              ,2024-10-13-10.44.36.000000,,LUIZFELIPE
  AGATHAALVARENGA,ACTIVE                              ,2017-01-04-17.32.12.000000,,MAXADOOG
  AGATHAALVARENGA,INACTIVE                            ,2019-09-06-16.33.41.000000,,MAXADOOG
  AGNALDOBELARRI,INACTIVE                            ,2024-11-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGNALDOBELARRI,ACTIVE                              ,2024-10-07-15.10.18.000000,,ITEAM
  AGNALDODELARRI,INACTIVE                            ,2024-11-08-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  AGNALDODELARRI,NEWREG                              ,2024-10-08-19.42.04.000000,,MAXADMIN
  AGNALDODELARRI,ACTIVE                              ,2024-10-08-19.45.40.000000,,LUIZFELIPE
  AGNALDOSOUZA,ACTIVE                              ,2017-09-06-10.29.05.000000,,PAULOPARREIRA
  AGOSTINLOPEZ,INACTIVE                            ,2024-01-06-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  AGOSTINLOPEZ,ACTIVE                              ,2023-12-30-19.42.23.000000,,RAPHAELBARBOSA
  AGOSTINLOPEZ,NEWREG                              ,2023-12-30-19.39.15.000000,,MAXADMIN
  AILTONBALZANA,ACTIVE                              ,2020-12-18-14.52.24.000000,,ITEAM
  AILTONBALZANA,ACTIVE                              ,2023-10-26-14.09.24.000000,,ITEAM
  AILTONBALZANA,INACTIVE                            ,2023-12-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AILTONBALZANA,INACTIVE                            ,2021-02-27-18.58.04.000000,Usuarios que nunca acessaram o sistema.,MAXADOOG
  AILTONBALZANA,ACTIVE                              ,2023-12-27-15.58.45.000000,,ITEAM
  AILTONBALZANA,INACTIVE                            ,2024-10-11-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AILTONBALZANA,ACTIVE                              ,2024-11-01-06.42.18.000000,,HELPDESK
  AILTONROMANO,ACTIVE                              ,2025-05-22-19.08.24.000000,,LUIZFELIPE
  AILTONROMANO,NEWREG                              ,2025-05-22-19.07.57.000000,,ITEAM
  AILTONROMANO,INACTIVE                            ,2025-07-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANALVES,ACTIVE                              ,2018-05-15-18.33.56.000000,,MAXADMIN
  ALANALVES,ACTIVE                              ,2022-10-21-15.27.16.000000,,MAXADMIN
  ALANALVES,INACTIVE                            ,2023-08-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANALVES,BLOCKED                             ,2022-10-21-15.21.50.000000,,MAXADMIN
  ALANALVES,ACTIVE                              ,2023-08-06-19.45.05.000000,Retorno de férias,HELPDESK
  ALANALVES,ACTIVE                              ,2023-06-07-20.50.23.000000,,HELPDESK
  ALANALVES,INACTIVE                            ,2023-06-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANALVES,ACTIVE                              ,2025-06-25-15.08.31.000000,Ticket#2025062529000824,HELPDESK
  ALANALVES,INACTIVE                            ,2025-06-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANALVES,INACTIVE                            ,2025-10-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANALVES,ACTIVE                              ,2025-12-11-17.14.46.023000,2025121129000795,HELPDESK
  ALANBARROSO,ACTIVE                              ,2018-04-10-07.47.06.000000,,JULINECAETANO
  ALANBARROSO,INACTIVE                            ,2019-01-25-16.33.00.000000,Inativando usuario que nao acessaram o sistema nos ultimos seis meses,MAXADOOG
  ALANELLER,ACTIVE                              ,2024-02-01-15.20.01.000000,,ITEAM
  ALANELLER,INACTIVE                            ,2025-04-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANELLER,ACTIVE                              ,2025-01-29-12.17.44.000000,2025012929000639,HELPDESK
  ALANELLER,INACTIVE                            ,2025-01-05-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANELLER,INACTIVE                            ,2025-10-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANELLER,ACTIVE                              ,2025-10-15-08.26.57.000000,Ticket#2025101529000273,HELPDESK
  ALANMOREIRA,NEWREG                              ,2024-11-16-19.48.11.000000,,MAXADMIN
  ALANMOREIRA,ACTIVE                              ,2024-11-16-19.48.57.000000,,RENATOSOARES
  ALANMOREIRA,INACTIVE                            ,2025-01-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANMOREIRA,ACTIVE                              ,2025-12-10-19.12.43.479000,,LUIZFELIPE
  ALANMOREIRA,INACTIVE                            ,2026-03-26-07.45.01.783000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANOLIVEIRA,ACTIVE                              ,2025-03-27-15.09.32.000000,,ITEAM
  ALANOLIVEIRA,INACTIVE                            ,2025-06-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANOLIVEIRAA,NEWREG                              ,2025-04-08-18.27.17.000000,,MAXADMIN
  ALANOLIVEIRAA,INACTIVE                            ,2025-06-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANOLIVEIRAA,ACTIVE                              ,2025-06-29-18.24.54.000000,,RENATOSOARES
  ALANOLIVEIRAA,ACTIVE                              ,2025-04-08-18.31.04.000000,,RENATOSOARES
  ALANOLIVEIRAA,INACTIVE                            ,2025-08-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2020-05-14-18.23.37.000000,,MAXADOOG
  ALANOSILVA,BLOCKED                             ,2023-03-03-05.34.59.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2021-10-07-03.59.10.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2023-05-25-04.52.51.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-04-11-21.01.40.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2023-03-07-01.18.40.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2021-10-07-04.05.18.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2021-10-05-21.45.18.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2021-10-04-04.56.03.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2023-04-25-13.08.44.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-03-03-18.10.26.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2022-09-01-05.24.14.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2021-10-04-05.05.18.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2023-05-06-20.24.52.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-03-07-01.20.26.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2023-12-10-20.49.58.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-05-25-04.53.52.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-05-06-20.25.24.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-04-25-13.15.22.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2023-04-11-21.00.23.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2023-03-03-18.10.06.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-03-03-05.40.26.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2021-10-05-21.43.07.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-05-08-00.45.27.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2023-05-08-00.40.56.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2022-09-01-05.23.59.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2023-12-10-20.59.01.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2025-09-20-18.21.40.000000,,MAXADMIN
  ALANOSILVA,ACTIVE                              ,2025-09-25-00.34.06.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2025-09-20-18.16.19.000000,,MAXADMIN
  ALANOSILVA,BLOCKED                             ,2025-09-25-00.31.49.000000,,MAXADMIN
  ALANOSVALDO,ACTIVE                              ,2024-09-25-11.23.46.000000,,ITEAM
  ALANRICARDO,NEWREG                              ,2025-07-23-19.44.31.000000,,ITEAM
  ALANRICARDO,ACTIVE                              ,2025-07-23-19.47.08.000000,,LUIZFELIPE
  ALANRICARDO,INACTIVE                            ,2025-09-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANRICARDOALVES,NEWREG                              ,2026-06-25-19.39.33.423000,,MAXADMIN
  ALANRICARDOALVES,ACTIVE                              ,2026-06-25-19.41.58.869000,,RENATOSOARES
  ALANSILVA,ACTIVE                              ,2014-11-04-12.12.16.000000,,MAXADMIN
  ALCANTARADAVID,ACTIVE                              ,2024-07-31-19.39.25.000000,,RAPHAELBARBOSA
  ALCANTARADAVID,NEWREG                              ,2024-07-31-19.38.26.000000,,MAXADMIN
  ALCANTARADAVID,INACTIVE                            ,2024-09-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALCEUARRIGONE,ACTIVE                              ,2014-02-17-17.10.36.000000,,MAXADMIN
  ALCEUARRIGONE,INACTIVE                            ,2016-12-01-10.01.04.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ALCIDESFELIPE,NEWREG                              ,2023-12-25-13.18.34.000000,,MAXADMIN
