IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AAMEDEIROS,NEWREG                              ,2024-06-10-09.34.18.000000,,MAXADMIN
  AAMEDEIROS,ACTIVE                              ,2024-06-10-09.35.41.000000,,SINVALJUNIOR
  AAMEDEIROS,INACTIVE                            ,2024-06-11-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ABDELSULEIMAN,ACTIVE                              ,2024-01-06-10.56.05.000000,,SINVALJUNIOR
  ABDELSULEIMAN,NEWREG                              ,2024-01-06-10.55.45.000000,,MAXADMIN
  ABDELSULEIMAN,INACTIVE                            ,2024-01-21-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ABILIOOLIVEIRA,ACTIVE                              ,2014-03-26-10.55.10.000000,,MAXADMIN
  ABILIOOLIVEIRA,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ABILIOPEDROSO,ACTIVE                              ,2024-11-18-13.05.54.000000,,FELIPEPAIXAO
  ABILIOPEDROSO,INACTIVE                            ,2025-01-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ABILIOPEDROSO,NEWREG                              ,2024-11-18-12.54.47.000000,,MAXADMIN
  ABREUDIOGO,NEWREG                              ,2025-05-19-10.35.06.000000,,ITEAM
  ABREUDIOGO,INACTIVE                            ,2025-07-08-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ABREUDIOGO,ACTIVE                              ,2025-05-19-10.35.44.000000,,SINVALJUNIOR
  ABREUKLEBER,NEWREG                              ,2024-09-22-07.46.17.000000,,MAXADMIN
  ABREUKLEBER,ACTIVE                              ,2024-09-22-07.47.04.000000,,FELIPEPAIXAO
  ABREUKLEBER,INACTIVE                            ,2024-11-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONARAUJO,NEWREG                              ,2026-06-02-13.44.10.783000,,MAXADMIN
  ADEILSONARAUJO,ACTIVE                              ,2026-06-02-13.48.42.577000,,FELIPEPAIXAO
  ADEMIRDEOLIEVEIRA,NEWREG                              ,2025-01-21-18.14.41.000000,,MAXADMIN
  ADEMIRDEOLIEVEIRAJUNIOR,NEWREG                              ,2025-01-21-18.14.55.000000,,MAXADMIN
  ADEMIRDEOLIVEIRAJ,ACTIVE                              ,2025-01-21-18.17.58.000000,,FELIPEPAIXAO
  ADEMIRDEOLIVEIRAJ,NEWREG                              ,2025-01-21-18.16.20.000000,,MAXADMIN
  ADEMIRDEOLIVEIRAJ,INACTIVE                            ,2025-03-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMIRJUNIOR,INACTIVE                            ,2017-03-20-15.37.45.000000,Saneamento usuários março/17,MAXADOOG
  ADEMIRJUNIOR,INACTIVE                            ,2019-01-25-16.39.08.000000,Inativando usuarios que nao acessaram nos ultimos seis meses,MAXADOOG
  ADEMIRJUNIOR,ACTIVE                              ,2016-10-14-16.33.14.000000,,ENIOSANTOS
  ADEMIRJUNIOR,ACTIVE                              ,2017-05-02-16.42.27.000000,,MAXADMIN
  ADEMIRNORBERTO,ACTIVE                              ,2023-03-20-09.55.03.000000,,ITEAM
  ADEMIROLIVEIRA,NEWREG                              ,2025-01-21-18.14.15.000000,,MAXADMIN
